id,sse,vr,status,name
10878,0x1400f7210,0x1401077c0,3,RE::Offset::BGSDefaultObjectManager::GetSingleton
10974,0x1400f9ca0,0x14010a250,3,RE::INISettingCollection::Unk_07
10979,0x1400f9e90,0x14010a440,3,RE::Offset::BSString::Set_CStr
11045,0x1400fcfe0,0x14010d590,3,RE::Offset::MemoryManager::GetSingleton
11183,0x1401007f0,0x140110da0,3,RE::MagicItem::IsValid
11213,0x140101a30,0x140111fe0,3,RE::Offset::MagicItem::CalculateCost
11216,0x140101cc0,0x140112270,3,RE::Offset::MagicItem::GetCostliestEffectItem
11308,0x140104ad0,0x1401150c0,3,RE::Offset::FixedStrings::GetSingleton
11474,0x14010e960,0x14011ef40,3,RE::BSExtraDataList::SetSoul
11483,0x14010f5c0,0x14011fba0,3,RE::Offset::ExtraDataList::SetInventoryChanges
11530,0x140112700,0x140122ce0,3,RE::Offset::BSExtraDataListSetHeadingTargetRefHandle_140112700
11633,0x1401172f0,0x1401278d0,3,RE::RE:ExtradataList::setLinkedRef
11903,0x140125d80,0x140136360,3,RE::Offset::ExtraDataList::SetExtraFlags
12176,0x140131990,0x140142140,3,RE::Offset::ExtraDataList::Add
12193,0x1401320f0,0x1401428a0,3,RE::Offset::CreateRefHandle
12204,0x1401329d0,0x140143180,3,RE::Offset::LookupReferenceByHandle
12272,0x1401349d0,0x140145380,3,RE::ExtraLock::REFR_LOCK::GetLockLevel
12626,0x14013c740,0x14014d130,3,RE::ExtraTextDisplayData::GetDisplayName
12910,0x140147bb0,0x1401585e0,3,SeasonsofSkyrim::FormSwap::model_loader_queue_ref
13054,0x14014dc60,0x14015e690,3,RE::INISettingCollection::InsertSetting
13113,0x14014f700,0x140160130,3,RE::INISettingCollection::Unk_09
13119,0x14014fb40,0x140160570,3,RE::INISettingCollection::RemoveSetting
13135,0x140150a00,0x140161430,3,RE::INISettingCollection::Unk_08
13159,0x1401535d0,0x140164020,3,RE::Offset::TES::PurgeBufferedCells
13171,0x140153f80,0x1401649d0,3,WashThatBloodOff::Rain::Manager::Load_Interior
13172,0x1401545f0,0x140165040,3,WashThatBloodOff::Rain::Manager::Leave_Interior
13177,0x140155090,0x140165ae0,3,RE::TES::Getcell
13202,0x140156b60,0x1401675b0,3,RE::TES::GetLandTexture
13203,0x140156cd0,0x140167720,3,RE::TES::GetLandMaterialType
13212,0x140157360,0x140167db0,3,RE::TES::GetWaterHeight
13224,0x140158350,0x140168e00,3,po3tweaks::ToggleCollisionFix::ToggleCollision
13530,0x1401652d0,0x140175a10,3,RE::Offset::UIMessageQueue::AddMessage
13657,0x1401713d0,0x140181b80,3,RE::Offset::TESDataHandler::LoadScripts
13789,0x140177790,0x1401876a0,3,RE::Offset::Sky::GetSingleton
